code,name,full_name
130822,兴隆县,河北省承德市兴隆县
130824,滦平县,河北省承德市滦平县
130825,隆化县,河北省承德市隆化县
130826,丰宁满族自治县,河北省承德市丰宁满族自治县
130827,宽城满族自治县,河北省承德市宽城满族自治县
130828,围场满族蒙古族自治县,河北省承德市围场满族蒙古族自治县
130881,平泉市,河北省承德市平泉市
130900,沧州市,河北省沧州市
130902,新华区,河北省沧州市新华区
130903,运河区,河北省沧州市运河区
130921,沧县,河北省沧州市沧县
130922,青县,河北省沧州市青县
130923,东光县,河北省沧州市东光县
130924,海兴县,河北省沧州市海兴县
130925,盐山县,河北省沧州市盐山县
130926,肃宁县,河北省沧州市肃宁县
130927,南皮县,河北省沧州市南皮县
130928,吴桥县,河北省沧州市吴桥县
130929,献县,河北省沧州市献县
130930,孟村回族自治县,河北省沧州市孟村回族自治县
130981,泊头市,河北省沧州市泊头市
130982,任丘市,河北省沧州市任丘市
130983,黄骅市,河北省沧州市黄骅市
130984,河间市,河北省沧州市河间市
131000,廊坊市,河北省廊坊市
131002,安次区,河北省廊坊市安次区
131003,广阳区,河北省廊坊市广阳区
131022,固安县,河北省廊坊市固安县
131023,永清县,河北省廊坊市永清县
131024,香河县,河北省廊坊市香河县
131025,大城县,河北省廊坊市大城县
131026,文安县,河北省廊坊市文安县
131028,大厂回族自治县,河北省廊坊市大厂回族自治县
131081,霸州市,河北省廊坊市霸州市
131082,三河市,河北省廊坊市三河市
131100,衡水市,河北省衡水市
131102,桃城区,河北省衡水市桃城区
131103,冀州区,河北省衡水市冀州区
131121,枣强县,河北省衡水市枣强县
131122,武邑县,河北省衡水市武邑县
131123,武强县,河北省衡水市武强县
131124,饶阳县,河北省衡水市饶阳县
131125,安平县,河北省衡水市安平县
131126,故城县,河北省衡水市故城县
131127,景县,河北省衡水市景县
131128,阜城县,河北省衡水市阜城县
131182,深州市,河北省衡水市深州市
140000,山西省,山西省
140100,太原市,山西省太原市
140105,小店区,山西省太原市小店区
140106,迎泽区,山西省太原市迎泽区
140107,杏花岭区,山西省太原市杏花岭区
140108,尖草坪区,山西省太原市尖草坪区
140109,万柏林区,山西省太原市万柏林区
140110,晋源区,山西省太原市晋源区
140121,清徐县,山西省太原市清徐县
140122,阳曲县,山西省太原市阳曲县
140123,娄烦县,山西省太原市娄烦县
140181,古交市,山西省太原市古交市
140200,大同市,山西省大同市
140212,新荣区,山西省大同市新荣区
140213,平城区,山西省大同市平城区
140214,云冈区,山西省大同市云冈区
